Grande Região	Principal motivo de atualmente não frequentar escola ou outro curso	2019	2019	2022	2022	2023	2023	2024	2024
Grande Região	Principal motivo de atualmente não frequentar escola ou outro curso	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda
Norte	Precisa trabalhar	65	436	64	374	58	377	62	377
Norte	Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado	7	67	6	49	5	48	3	41
Norte	Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)	1	13	3	18	2	13	2	8
Norte	Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais	21	259	23	202	18	205	19	164
Norte	Problemas de saúde permanente	8	41	6	35	8	44	9	29
Norte	Não tem interesse	48	271	37	219	26	204	28	176
Norte	Outro motivo	7	54	12	44	12	44	6	44
Nordeste	Precisa trabalhar	266	1154	216	1028	215	980	187	1033
Nordeste	Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado	14	98	18	87	10	63	13	56
Nordeste	Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)	9	37	9	34	9	30	2	21
Nordeste	Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais	116	623	98	487	96	458	86	450
Nordeste	Problemas de saúde permanente	39	150	41	138	42	126	44	128
Nordeste	Não tem interesse	208	930	159	665	153	609	126	605
Nordeste	Outro motivo	28	121	37	149	37	155	32	129
Sudeste	Precisa trabalhar	524	1180	489	1038	432	986	425	1013
Sudeste	Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado	30	74	22	48	18	39	20	35
Sudeste	Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)	22	45	18	43	25	29	15	18
Sudeste	Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais	169	387	108	235	104	253	89	250
Sudeste	Problemas de saúde permanente	69	94	58	85	88	82	58	87
Sudeste	Não tem interesse	277	586	210	497	233	481	200	455
Sudeste	Outro motivo	43	130	69	116	59	124	69	125
Sul	Precisa trabalhar	454	356	403	321	380	334	371	357
Sul	Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado	17	18	22	21	11	14	17	11
Sul	Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)	10	13	13	10	9	6	9	6
Sul	Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais	120	74	93	67	92	75	64	66
Sul	Problemas de saúde permanente	30	27	45	23	38	23	31	23
Sul	Não tem interesse	201	144	173	136	151	104	141	111
Sul	Outro motivo	48	31	55	42	36	31	37	37
Centro-Oeste	Precisa trabalhar	93	318	94	339	74	296	71	264
Centro-Oeste	Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado	4	17	5	17	3	15	4	12
Centro-Oeste	Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)	3	6	5	9	2	9	-	8
Centro-Oeste	Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais	31	115	17	77	18	87	22	73
Centro-Oeste	Problemas de saúde permanente	12	20	10	18	11	19	10	15
Centro-Oeste	Não tem interesse	47	162	33	120	37	120	39	125
Centro-Oeste	Outro motivo	8	33	10	42	8	32	10	24
