Grande Região	Condição de estudante, rede de ensino e curso frequentado	2016	2016	2017	2017	2018	2018	2019	2019	2021	2021	2022	2022	2023	2023	2024	2024
Grande Região	Condição de estudante, rede de ensino e curso frequentado	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres
Norte	Não estudante	2559	2879	3007	3301	3413	3639	3682	4073	4269	4550	4758	4984	5069	5249	5356	5586
Norte	Estudante	1146	1298	1210	1395	1320	1420	1336	1482	1479	1559	1574	1701	1615	1696	1607	1730
Norte	Rede pública	876	922	925	972	994	988	1010	1039	1149	1101	1230	1199	1236	1182	1245	1204
Norte	Ensino Fundamental ou EJA do Ensino Fundamental (rede pública)	458	438	477	478	533	507	537	520	623	583	714	629	707	622	701	656
Norte	Ensino Médio ou EJA do Ensino Médio (rede pública)	323	367	337	370	355	362	351	378	387	370	393	418	389	416	429	412
Norte	Superior, Especialização, Mestrado ou Doutorado (rede pública)	93	115	110	123	105	118	121	140	138	146	122	147	138	143	115	135
Norte	Rede privada	270	376	285	423	326	432	326	443	330	458	344	502	379	514	362	526
Norte	Ensino Fundamental ou EJA do Ensino Fundamental (rede privada)	54	62	55	63	69	68	70	62	65	71	73	74	70	69	62	69
Norte	Ensino Médio ou EJA do Ensino Médio (rede privada)	29	39	34	38	25	38	35	35	34	26	29	36	36	31	36	37
Norte	Superior, Especialização, Mestrado ou Doutorado (rede privada)	187	275	196	323	232	325	222	347	230	361	242	393	274	414	263	419
Nordeste	Não estudante	8212	9528	9496	11026	10704	12486	11768	13784	13579	15809	14791	17081	15210	17591	16166	18625
Nordeste	Estudante	3566	4075	3787	4261	4010	4351	4154	4352	4371	4697	4564	4847	4404	4794	4299	4699
Nordeste	Rede pública	2592	2785	2727	2875	2911	2989	3111	2988	3382	3452	3445	3510	3379	3360	3248	3265
Nordeste	Ensino Fundamental ou EJA do Ensino Fundamental (rede pública)	1414	1329	1510	1452	1628	1566	1788	1582	1958	1819	1966	1913	1890	1801	1833	1767
Nordeste	Ensino Médio ou EJA do Ensino Médio (rede pública)	889	1085	890	1081	919	1040	957	1041	1073	1210	1107	1179	1097	1112	1078	1123
Nordeste	Superior, Especialização, Mestrado ou Doutorado (rede pública)	283	368	320	336	362	378	364	362	342	408	357	400	379	428	337	376
Nordeste	Rede privada	974	1290	1060	1386	1099	1362	1043	1364	989	1246	1119	1337	1026	1434	1052	1434
Nordeste	Ensino Fundamental ou EJA do Ensino Fundamental (rede privada)	364	362	386	388	405	374	369	405	361	364	422	341	363	374	380	382
Nordeste	Ensino Médio ou EJA do Ensino Médio (rede privada)	130	123	127	127	109	126	99	108	123	129	107	131	115	119	113	131
Nordeste	Superior, Especialização, Mestrado ou Doutorado (rede privada)	480	805	547	871	585	861	575	850	505	753	591	865	547	941	558	920
Sudeste	Não estudante	20442	22121	22291	23964	23867	25977	25118	27221	26838	29043	27195	29381	27878	29937	28183	30102
Sudeste	Estudante	6454	6498	6260	6564	6450	6822	6472	6800	6727	7189	6769	7381	6655	7140	6545	6887
Sudeste	Rede pública	4145	4032	4148	4015	4229	4199	4173	4060	4582	4252	4317	4328	4232	4121	4045	3827
Sudeste	Ensino Fundamental ou EJA do Ensino Fundamental (rede pública)	2185	2121	2266	2046	2383	2222	2361	2209	2524	2222	2409	2283	2359	2211	2248	2049
Sudeste	Ensino Médio ou EJA do Ensino Médio (rede pública)	1529	1501	1464	1518	1402	1478	1372	1407	1491	1416	1383	1480	1333	1375	1307	1262
Sudeste	Superior, Especialização, Mestrado ou Doutorado (rede pública)	429	403	413	447	441	497	439	441	563	606	517	556	528	521	490	516
Sudeste	Rede privada	2310	2466	2112	2550	2222	2623	2299	2740	2146	2936	2451	3052	2423	3020	2500	3060
Sudeste	Ensino Fundamental ou EJA do Ensino Fundamental (rede privada)	602	546	554	574	571	573	600	580	606	684	657	598	624	611	670	678
Sudeste	Ensino Médio ou EJA do Ensino Médio (rede privada)	352	312	259	282	267	243	245	284	209	282	271	278	264	300	296	313
Sudeste	Superior, Especialização, Mestrado ou Doutorado (rede privada)	1356	1608	1296	1694	1384	1805	1453	1875	1329	1971	1523	2176	1534	2109	1534	2069
Sul	Não estudante	6494	6797	7177	7446	7893	8181	8308	8668	8927	9143	9167	9401	9387	9655	9788	10018
Sul	Estudante	2140	2297	2228	2388	2222	2375	2305	2404	2305	2514	2361	2522	2367	2519	2193	2526
Sul	Rede pública	1456	1486	1498	1479	1514	1456	1577	1497	1590	1561	1619	1568	1538	1513	1425	1478
