Grande Região	Condição de estudante, rede de ensino e curso frequentado	2016	2016	2017	2017	2018	2018	2019	2019	2021	2021	2022	2022	2023	2023	2024	2024
Grande Região	Condição de estudante, rede de ensino e curso frequentado	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres
Norte	Não estudante	5215	5273	5398	5391	5575	5505	5612	5688	5821	5826	5936	5956	6030	6046	6167	6228
Norte	Estudante	1880	1925	1873	1962	1914	1918	1849	1950	1936	1960	1918	1982	1921	1987	1843	1951
Norte	Rede pública	1593	1528	1576	1523	1571	1470	1509	1492	1589	1487	1565	1466	1530	1456	1475	1419
Norte	Ensino Fundamental ou EJA do Ensino Fundamental (rede pública)	1067	937	1027	934	1014	898	958	904	988	891	1001	850	956	852	898	841
Norte	Ensino Médio ou EJA do Ensino Médio (rede pública)	425	466	431	456	442	446	422	441	456	440	434	460	430	455	461	440
Norte	Superior, Especialização, Mestrado ou Doutorado (rede pública)	96	119	113	129	111	122	125	145	141	152	125	150	142	146	116	138
Norte	Rede privada	287	396	297	439	343	449	340	458	347	473	353	515	391	531	368	532
Norte	Ensino Fundamental ou EJA do Ensino Fundamental (rede privada)	63	74	62	72	81	80	80	72	72	80	78	80	77	78	67	73
Norte	Ensino Médio ou EJA do Ensino Médio (rede privada)	32	40	35	40	25	40	36	35	36	28	29	36	38	32	37	38
Norte	Superior, Especialização, Mestrado ou Doutorado (rede privada)	192	282	200	327	237	329	224	351	239	365	245	399	276	422	264	421
Nordeste	Não estudante	17693	19187	17951	19374	18080	19581	18335	19907	18503	20239	18767	20447	18869	20742	19211	21168
Nordeste	Estudante	5215	5449	5190	5406	5212	5364	5187	5230	5145	5369	5120	5310	4953	5309	4772	5090
Nordeste	Rede pública	4183	4103	4093	3975	4082	3965	4102	3830	4123	4090	3976	3952	3882	3829	3689	3622
Nordeste	Ensino Fundamental ou EJA do Ensino Fundamental (rede pública)	2772	2391	2688	2362	2633	2374	2638	2290	2573	2330	2425	2291	2314	2196	2226	2087
Nordeste	Ensino Médio ou EJA do Ensino Médio (rede pública)	1098	1305	1061	1247	1071	1189	1080	1164	1178	1312	1162	1223	1165	1172	1125	1159
Nordeste	Superior, Especialização, Mestrado ou Doutorado (rede pública)	288	381	326	341	366	384	371	366	351	418	359	403	384	437	339	377
Nordeste	Rede privada	1032	1346	1097	1430	1130	1399	1084	1400	1022	1280	1144	1358	1070	1480	1083	1468
Nordeste	Ensino Fundamental ou EJA do Ensino Fundamental (rede privada)	412	393	415	417	430	398	402	429	386	385	441	357	396	405	408	411
Nordeste	Ensino Médio ou EJA do Ensino Médio (rede privada)	132	128	129	129	110	128	101	111	125	131	109	131	118	123	115	134
Nordeste	Superior, Especialização, Mestrado ou Doutorado (rede privada)	486	824	553	883	588	873	580	859	511	764	593	869	555	950	561	923
Sudeste	Não estudante	29162	31616	29651	32034	29853	32432	30286	32782	30756	33114	30809	33297	31365	33605	31876	34024
Sudeste	Estudante	7303	7247	6988	7201	6954	7289	6900	7205	7153	7566	7190	7752	7090	7564	7094	7346
Sudeste	Rede pública	4960	4733	4835	4599	4700	4638	4574	4444	4982	4601	4697	4659	4622	4485	4477	4166
Sudeste	Ensino Fundamental ou EJA do Ensino Fundamental (rede pública)	2860	2721	2842	2533	2806	2578	2711	2549	2873	2498	2734	2551	2686	2502	2598	2331
Sudeste	Ensino Médio ou EJA do Ensino Médio (rede pública)	1659	1593	1567	1609	1444	1548	1417	1441	1534	1476	1431	1532	1391	1436	1381	1304
Sudeste	Superior, Especialização, Mestrado ou Doutorado (rede pública)	433	406	417	448	441	499	441	442	565	610	520	562	530	529	498	532
Sudeste	Rede privada	2342	2513	2153	2602	2254	2651	2326	2761	2171	2964	2493	3093	2468	3079	2617	3179
Sudeste	Ensino Fundamental ou EJA do Ensino Fundamental (rede privada)	624	569	585	595	597	591	622	592	619	699	677	621	656	643	719	709
Sudeste	Ensino Médio ou EJA do Ensino Médio (rede privada)	353	318	264	286	267	244	246	288	212	285	273	278	267	305	309	332
Sudeste	Superior, Especialização, Mestrado ou Doutorado (rede privada)	1363	1625	1301	1721	1390	1811	1455	1880	1338	1981	1541	2191	1543	2132	1589	2139
Sul	Não estudante	9955	10451	10117	10504	10260	10635	10314	10658	10506	10717	10592	10788	10700	10940	10895	11117
Sul	Estudante	2473	2588	2455	2597	2420	2548	2489	2551	2495	2664	2536	2665	2519	2659	2323	2638
Sul	Rede pública	1779	1766	1715	1678	1702	1623	1757	1638	1764	1700	1782	1698	1681	1635	1538	1577
