Unidade da Federação	Grupo de idade	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça	Ano x Cor ou raça
Unidade da Federação	Grupo de idade	2016	2016	2017	2017	2018	2018	2019	2019	2022	2022	2023	2023	2024	2024
Unidade da Federação	Grupo de idade	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda
Rondônia	0 a 3 anos	42	69	41	67	41	84	35	78	34	69	36	64	34	67
Rondônia	4 a 5 anos	22	45	13	45	15	33	16	49	10	37	16	37	15	37
Rondônia	6 a 9 anos	28	89	32	80	25	78	35	74	33	77	29	69	24	79
Rondônia	10 a 14 anos	39	108	33	116	29	104	28	95	33	95	32	98	32	95
Rondônia	15 a 17 anos	23	69	22	61	28	60	18	63	24	63	24	60	20	62
Rondônia	18 a 24 anos	62	160	59	162	57	172	70	168	55	162	50	146	54	149
Rondônia	25 a 29 anos	41	114	41	111	37	114	37	120	42	109	42	108	40	117
Rondônia	30 a 39 anos	79	199	81	211	81	210	77	195	78	210	71	201	71	206
Rondônia	40 a 59 anos	115	251	126	254	118	272	119	291	134	321	161	326	126	344
Rondônia	60 anos ou mais	50	87	52	107	56	108	58	122	80	137	86	159	87	177
Acre	0 a 3 anos	15	45	15	44	15	47	13	47	14	43	13	44	13	45
Acre	4 a 5 anos	7	22	6	24	6	27	7	26	8	23	5	26	7	26
Acre	6 a 9 anos	11	56	13	55	11	54	11	51	13	51	11	49	12	48
Acre	10 a 14 anos	16	78	14	73	14	71	13	69	13	61	15	67	15	68
Acre	15 a 17 anos	11	48	10	47	8	43	9	44	10	42	8	46	8	40
Acre	18 a 24 anos	16	88	20	96	19	95	20	96	23	94	22	94	23	98
Acre	25 a 29 anos	11	54	11	57	14	62	11	60	14	62	12	57	13	63
Acre	30 a 39 anos	23	109	23	103	22	105	22	108	25	110	22	118	23	110
Acre	40 a 59 anos	25	123	28	131	32	126	32	137	32	160	29	160	38	168
Acre	60 anos ou mais	12	50	14	52	13	57	14	63	17	70	15	77	19	67
Amazonas	0 a 3 anos	61	236	68	228	55	208	60	224	62	222	57	235	54	215
Amazonas	4 a 5 anos	25	120	30	122	25	112	29	121	26	126	22	126	23	107
Amazonas	6 a 9 anos	47	236	51	232	45	242	44	220	55	231	47	243	46	224
