Unidade da Federação	Tipo de esgotamento sanitário	2016	2016	2017	2017	2018	2018
Unidade da Federação	Tipo de esgotamento sanitário	Urbana	Rural	Urbana	Rural	Urbana	Rural
Rondônia	Total	399	132	417	127	426	123
Rondônia	Rede geral, rede pluvial ou fossa ligada à rede	59	2	53	1	52	1
Rondônia	Fossa não ligada à rede	338	128	361	122	372	118
Rondônia	Outro tipo	2	3	3	5	3	4
Acre	Total	167	38	174	44	183	52
Acre	Rede geral, rede pluvial ou fossa ligada à rede	72	2	79	1	90	0
Acre	Fossa não ligada à rede	79	25	75	25	71	34
Acre	Outro tipo	16	11	20	18	21	18
Amazonas	Total	819	122	878	142	898	137
Amazonas	Rede geral, rede pluvial ou fossa ligada à rede	314	4	383	2	365	0
Amazonas	Fossa não ligada à rede	431	54	418	85	463	85
Amazonas	Outro tipo	74	65	77	55	71	51
Roraima	Total	115	20	122	20	128	23
Roraima	Rede geral, rede pluvial ou fossa ligada à rede	38	1	39	0	62	0
Roraima	Fossa não ligada à rede	77	17	82	16	65	21
Roraima	Outro tipo	1	2	1	3	1	2
Pará	Total	1568	597	1641	600	1702	612
Pará	Rede geral, rede pluvial ou fossa ligada à rede	227	16	259	13	327	17
Pará	Fossa não ligada à rede	1266	409	1296	454	1294	434
Pará	Outro tipo	75	172	87	133	80	162
Amapá	Total	175	15	178	20	182	12
Amapá	Rede geral, rede pluvial ou fossa ligada à rede	18	-	22	0	26	0
Amapá	Fossa não ligada à rede	127	11	137	14	124	9
Amapá	Outro tipo	30	5	19	6	32	3
Tocantins	Total	379	65	386	78	400	83
Tocantins	Rede geral, rede pluvial ou fossa ligada à rede	144	0	143	1	152	1
Tocantins	Fossa não ligada à rede	234	62	239	69	246	69
Tocantins	Outro tipo	1	3	3	9	2	13
Maranhão	Total	1245	492	1297	560	1295	567
Maranhão	Rede geral, rede pluvial ou fossa ligada à rede	310	29	349	30	390	54
Maranhão	Fossa não ligada à rede	888	350	892	366	829	352
Maranhão	Outro tipo	47	113	56	165	76	161
Piauí	Total	642	238	662	239	650	249
Piauí	Rede geral, rede pluvial ou fossa ligada à rede	70	2	84	2	68	1
Piauí	Fossa não ligada à rede	569	223	576	225	579	234
Piauí	Outro tipo	2	14	2	12	4	13
Ceará	Total	2082	564	2142	602	2209	625
Ceará	Rede geral, rede pluvial ou fossa ligada à rede	1203	32	1208	30	1215	20
Ceará	Fossa não ligada à rede	850	500	903	535	957	564
Ceará	Outro tipo	29	32	31	36	38	41
Rio Grande do Norte	Total	807	220	815	217	821	221
Rio Grande do Norte	Rede geral, rede pluvial ou fossa ligada à rede	223	9	254	8	238	4
Rio Grande do Norte	Fossa não ligada à rede	578	206	556	203	575	210
Rio Grande do Norte	Outro tipo	5	6	5	5	8	7
Paraíba	Total	953	240	971	250	980	260
Paraíba	Rede geral, rede pluvial ou fossa ligada à rede	627	19	612	6	617	16
Paraíba	Fossa não ligada à rede	305	186	336	206	335	209
