Grande Região	Principal motivo de atualmente não frequentar escola ou outro curso	2019	2019	2022	2022	2023	2023	2024	2024
Grande Região	Principal motivo de atualmente não frequentar escola ou outro curso	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres	Homens	Mulheres
Norte	Precisa trabalhar	416	93	363	80	355	85	356	91
Norte	Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado	39	37	30	27	26	29	22	22
Norte	Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)	9	6	13	8	8	6	5	5
Norte	Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais	5	281	6	225	7	220	4	186
Norte	Problemas de saúde permanente	31	20	25	16	35	18	22	15
Norte	Não tem interesse	218	106	173	88	157	78	134	74
Norte	Outro motivo	21	42	20	37	24	35	20	32
Nordeste	Precisa trabalhar	1131	304	1003	256	932	274	987	244
Nordeste	Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado	57	56	54	51	41	32	33	37
Nordeste	Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)	22	24	22	21	24	16	15	9
Nordeste	Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais	17	728	20	572	17	549	15	528
Nordeste	Problemas de saúde permanente	120	72	116	64	114	55	115	58
Nordeste	Não tem interesse	784	363	530	306	494	276	461	275
Nordeste	Outro motivo	49	101	82	106	92	101	65	96
Sudeste	Precisa trabalhar	1268	448	1135	399	1058	370	1089	361
Sudeste	Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado	57	47	38	34	29	28	24	31
Sudeste	Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)	47	22	40	21	32	24	19	14
Sudeste	Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais	26	532	11	340	15	347	8	333
Sudeste	Problemas de saúde permanente	107	56	92	51	95	76	93	52
Sudeste	Não tem interesse	600	266	465	258	454	263	460	205
Sudeste	Outro motivo	73	103	81	105	101	85	87	107
Sul	Precisa trabalhar	590	236	522	210	494	222	525	207
Sul	Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado	20	16	27	16	13	13	15	14
Sul	Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)	8	14	10	13	8	6	9	6
Sul	Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais	11	185	5	157	8	160	4	126
Sul	Problemas de saúde permanente	39	18	45	24	42	20	35	20
Sul	Não tem interesse	224	123	209	100	176	79	164	88
Sul	Outro motivo	35	44	41	57	33	34	33	41
Centro-Oeste	Precisa trabalhar	321	94	333	104	283	90	256	87
Centro-Oeste	Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado	10	12	10	12	9	9	10	7
Centro-Oeste	Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)	4	5	6	8	9	2	4	3
Centro-Oeste	Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais	2	147	4	90	1	105	1	95
Centro-Oeste	Problemas de saúde permanente	20	12	19	9	19	11	18	7
Centro-Oeste	Não tem interesse	135	74	100	56	105	56	108	58
Centro-Oeste	Outro motivo	16	25	22	30	14	26	13	22
