"Tabela 7109 - População residente, por sexo e grupo de idade",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Variável,Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Sexo,Grupo de idade,,
População,BR,1,Brasil,2016,Total,Total,204325.0,Mil pessoas
População,BR,1,Brasil,2016,Total,0 a 3 anos,11722.0,Mil pessoas
População,BR,1,Brasil,2016,Total,4 a 5 anos,5809.0,Mil pessoas
População,BR,1,Brasil,2016,Total,6 a 9 anos,11777.0,Mil pessoas
População,BR,1,Brasil,2016,Total,10 a 14 anos,15532.0,Mil pessoas
População,BR,1,Brasil,2016,Total,15 a 17 anos,10476.0,Mil pessoas
População,BR,1,Brasil,2016,Total,18 a 24 anos,23751.0,Mil pessoas
População,BR,1,Brasil,2016,Total,25 a 29 anos,17214.0,Mil pessoas
População,BR,1,Brasil,2016,Total,30 a 39 anos,33226.0,Mil pessoas
População,BR,1,Brasil,2016,Total,40 a 59 anos,49024.0,Mil pessoas
População,BR,1,Brasil,2016,Total,60 anos ou mais,25794.0,Mil pessoas
População,BR,1,Brasil,2016,Homens,Total,99976.0,Mil pessoas
População,BR,1,Brasil,2016,Homens,0 a 3 anos,5956.0,Mil pessoas
População,BR,1,Brasil,2016,Homens,4 a 5 anos,3014.0,Mil pessoas
População,BR,1,Brasil,2016,Homens,6 a 9 anos,6016.0,Mil pessoas
População,BR,1,Brasil,2016,Homens,10 a 14 anos,7925.0,Mil pessoas
População,BR,1,Brasil,2016,Homens,15 a 17 anos,5366.0,Mil pessoas
População,BR,1,Brasil,2016,Homens,18 a 24 anos,11922.0,Mil pessoas
População,BR,1,Brasil,2016,Homens,25 a 29 anos,8577.0,Mil pessoas
População,BR,1,Brasil,2016,Homens,30 a 39 anos,16300.0,Mil pessoas
População,BR,1,Brasil,2016,Homens,40 a 59 anos,23500.0,Mil pessoas
População,BR,1,Brasil,2016,Homens,60 anos ou mais,11402.0,Mil pessoas
População,BR,1,Brasil,2016,Mulheres,Total,104349.0,Mil pessoas
População,BR,1,Brasil,2016,Mulheres,0 a 3 anos,5767.0,Mil pessoas
População,BR,1,Brasil,2016,Mulheres,4 a 5 anos,2795.0,Mil pessoas
População,BR,1,Brasil,2016,Mulheres,6 a 9 anos,5761.0,Mil pessoas
População,BR,1,Brasil,2016,Mulheres,10 a 14 anos,7608.0,Mil pessoas
População,BR,1,Brasil,2016,Mulheres,15 a 17 anos,5110.0,Mil pessoas
População,BR,1,Brasil,2016,Mulheres,18 a 24 anos,11830.0,Mil pessoas
População,BR,1,Brasil,2016,Mulheres,25 a 29 anos,8637.0,Mil pessoas
População,BR,1,Brasil,2016,Mulheres,30 a 39 anos,16927.0,Mil pessoas
População,BR,1,Brasil,2016,Mulheres,40 a 59 anos,25524.0,Mil pessoas
População,BR,1,Brasil,2016,Mulheres,60 anos ou mais,14392.0,Mil pessoas
População,BR,1,Brasil,2017,Total,Total,206000.0,Mil pessoas
População,BR,1,Brasil,2017,Total,0 a 3 anos,11675.0,Mil pessoas
População,BR,1,Brasil,2017,Total,4 a 5 anos,5861.0,Mil pessoas
População,BR,1,Brasil,2017,Total,6 a 9 anos,11702.0,Mil pessoas
População,BR,1,Brasil,2017,Total,10 a 14 anos,15311.0,Mil pessoas
População,BR,1,Brasil,2017,Total,15 a 17 anos,10130.0,Mil pessoas
População,BR,1,Brasil,2017,Total,18 a 24 anos,23868.0,Mil pessoas
População,BR,1,Brasil,2017,Total,25 a 29 anos,17125.0,Mil pessoas
População,BR,1,Brasil,2017,Total,30 a 39 anos,33571.0,Mil pessoas
População,BR,1,Brasil,2017,Total,40 a 59 anos,49972.0,Mil pessoas
População,BR,1,Brasil,2017,Total,60 anos ou mais,26785.0,Mil pessoas
População,BR,1,Brasil,2017,Homens,Total,100773.0,Mil pessoas
População,BR,1,Brasil,2017,Homens,0 a 3 anos,5941.0,Mil pessoas
População,BR,1,Brasil,2017,Homens,4 a 5 anos,3016.0,Mil pessoas
População,BR,1,Brasil,2017,Homens,6 a 9 anos,5994.0,Mil pessoas
População,BR,1,Brasil,2017,Homens,10 a 14 anos,7833.0,Mil pessoas
População,BR,1,Brasil,2017,Homens,15 a 17 anos,5165.0,Mil pessoas
População,BR,1,Brasil,2017,Homens,18 a 24 anos,12009.0,Mil pessoas
