"Tabela 7135 - Pessoas de 25 anos ou mais de idade, por cor ou raça e nível de instrução",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variável - Pessoas de 25 anos ou mais de idade,,,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Cor ou raça,Nível de instrução,,
BR,1,Brasil,2016,Branca,Sem instrução,2692.0,Mil pessoas
BR,1,Brasil,2016,Branca,Ensino fundamental incompleto ou equivalente,16447.0,Mil pessoas
BR,1,Brasil,2016,Branca,Ensino fundamental completo ou equivalente,5240.0,Mil pessoas
BR,1,Brasil,2016,Branca,Ensino médio incompleto ou equivalente,2033.0,Mil pessoas
BR,1,Brasil,2016,Branca,Ensino médio completo ou equivalente,16333.0,Mil pessoas
BR,1,Brasil,2016,Branca,Ensino superior incompleto ou equivalente,2489.0,Mil pessoas
BR,1,Brasil,2016,Branca,Superior completo,13143.0,Mil pessoas
BR,1,Brasil,2016,Preta ou parda,Sem instrução,6388.0,Mil pessoas
BR,1,Brasil,2016,Preta ou parda,Ensino fundamental incompleto ou equivalente,24808.0,Mil pessoas
BR,1,Brasil,2016,Preta ou parda,Ensino fundamental completo ou equivalente,6242.0,Mil pessoas
BR,1,Brasil,2016,Preta ou parda,Ensino médio incompleto ou equivalente,3147.0,Mil pessoas
BR,1,Brasil,2016,Preta ou parda,Ensino médio completo ou equivalente,17419.0,Mil pessoas
BR,1,Brasil,2016,Preta ou parda,Ensino superior incompleto ou equivalente,1937.0,Mil pessoas
BR,1,Brasil,2016,Preta ou parda,Superior completo,5795.0,Mil pessoas
BR,1,Brasil,2017,Branca,Sem instrução,2422.0,Mil pessoas
BR,1,Brasil,2017,Branca,Ensino fundamental incompleto ou equivalente,16178.0,Mil pessoas
BR,1,Brasil,2017,Branca,Ensino fundamental completo ou equivalente,4783.0,Mil pessoas
BR,1,Brasil,2017,Branca,Ensino médio incompleto ou equivalente,2255.0,Mil pessoas
BR,1,Brasil,2017,Branca,Ensino médio completo ou equivalente,16154.0,Mil pessoas
BR,1,Brasil,2017,Branca,Ensino superior incompleto ou equivalente,2622.0,Mil pessoas
BR,1,Brasil,2017,Branca,Superior completo,13398.0,Mil pessoas
BR,1,Brasil,2017,Preta ou parda,Sem instrução,6098.0,Mil pessoas
BR,1,Brasil,2017,Preta ou parda,Ensino fundamental incompleto ou equivalente,25390.0,Mil pessoas
BR,1,Brasil,2017,Preta ou parda,Ensino fundamental completo ou equivalente,6056.0,Mil pessoas
BR,1,Brasil,2017,Preta ou parda,Ensino médio incompleto ou equivalente,3649.0,Mil pessoas
BR,1,Brasil,2017,Preta ou parda,Ensino médio completo ou equivalente,18739.0,Mil pessoas
BR,1,Brasil,2017,Preta ou parda,Ensino superior incompleto ou equivalente,2190.0,Mil pessoas
BR,1,Brasil,2017,Preta ou parda,Superior completo,6366.0,Mil pessoas
BR,1,Brasil,2018,Branca,Sem instrução,2294.0,Mil pessoas
BR,1,Brasil,2018,Branca,Ensino fundamental incompleto ou equivalente,15651.0,Mil pessoas
BR,1,Brasil,2018,Branca,Ensino fundamental completo ou equivalente,4584.0,Mil pessoas
BR,1,Brasil,2018,Branca,Ensino médio incompleto ou equivalente,2223.0,Mil pessoas
BR,1,Brasil,2018,Branca,Ensino médio completo ou equivalente,16030.0,Mil pessoas
BR,1,Brasil,2018,Branca,Ensino superior incompleto ou equivalente,2880.0,Mil pessoas
BR,1,Brasil,2018,Branca,Superior completo,14000.0,Mil pessoas
BR,1,Brasil,2018,Preta ou parda,Sem instrução,5976.0,Mil pessoas
BR,1,Brasil,2018,Preta ou parda,Ensino fundamental incompleto ou equivalente,25494.0,Mil pessoas
BR,1,Brasil,2018,Preta ou parda,Ensino fundamental completo ou equivalente,5860.0,Mil pessoas
BR,1,Brasil,2018,Preta ou parda,Ensino médio incompleto ou equivalente,3874.0,Mil pessoas
BR,1,Brasil,2018,Preta ou parda,Ensino médio completo ou equivalente,19591.0,Mil pessoas
BR,1,Brasil,2018,Preta ou parda,Ensino superior incompleto ou equivalente,2447.0,Mil pessoas
BR,1,Brasil,2018,Preta ou parda,Superior completo,7137.0,Mil pessoas
BR,1,Brasil,2019,Branca,Sem instrução,2093.0,Mil pessoas
BR,1,Brasil,2019,Branca,Ensino fundamental incompleto ou equivalente,15332.0,Mil pessoas
BR,1,Brasil,2019,Branca,Ensino fundamental completo ou equivalente,4569.0,Mil pessoas
BR,1,Brasil,2019,Branca,Ensino médio incompleto ou equivalente,2170.0,Mil pessoas
BR,1,Brasil,2019,Branca,Ensino médio completo ou equivalente,16329.0,Mil pessoas
BR,1,Brasil,2019,Branca,Ensino superior incompleto ou equivalente,2957.0,Mil pessoas
BR,1,Brasil,2019,Branca,Superior completo,14665.0,Mil pessoas
BR,1,Brasil,2019,Preta ou parda,Sem instrução,5702.0,Mil pessoas
BR,1,Brasil,2019,Preta ou parda,Ensino fundamental incompleto ou equivalente,25367.0,Mil pessoas
BR,1,Brasil,2019,Preta ou parda,Ensino fundamental completo ou equivalente,5890.0,Mil pessoas
BR,1,Brasil,2019,Preta ou parda,Ensino médio incompleto ou equivalente,4085.0,Mil pessoas
BR,1,Brasil,2019,Preta ou parda,Ensino médio completo ou equivalente,20511.0,Mil pessoas
BR,1,Brasil,2019,Preta ou parda,Ensino superior incompleto ou equivalente,2549.0,Mil pessoas
BR,1,Brasil,2019,Preta ou parda,Superior completo,7958.0,Mil pessoas
BR,1,Brasil,2022,Branca,Sem instrução,2440.0,Mil pessoas
BR,1,Brasil,2022,Branca,Ensino fundamental incompleto ou equivalente,14591.0,Mil pessoas
BR,1,Brasil,2022,Branca,Ensino fundamental completo ou equivalente,4575.0,Mil pessoas
BR,1,Brasil,2022,Branca,Ensino médio incompleto ou equivalente,2489.0,Mil pessoas
BR,1,Brasil,2022,Branca,Ensino médio completo ou equivalente,17668.0,Mil pessoas
BR,1,Brasil,2022,Branca,Ensino superior incompleto ou equivalente,2942.0,Mil pessoas
BR,1,Brasil,2022,Branca,Superior completo,16617.0,Mil pessoas
